SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612756,PHX,Phoenix Suns,0021900363,2019-12-11,PHX vs. MEM,L,240,108,37,93,0.398,9,34,0.265,25,30,0.833,8,36,44,29,6,4,12,20,-7.0
22019,1610612756,PHX,Phoenix Suns,0021900349,2019-12-09,PHX vs. MIN,W,238,125,47,95,0.495,16,40,0.4,15,19,0.789,12,30,42,31,5,5,9,23,16.0
22019,1610612756,PHX,Phoenix Suns,0021900333,2019-12-07,PHX @ HOU,L,241,109,40,96,0.417,11,35,0.314,18,28,0.643,13,38,51,29,4,3,15,25,-6.0
22019,1610612756,PHX,Phoenix Suns,0021900319,2019-12-05,PHX @ NOP,W,265,139,50,106,0.472,14,36,0.389,25,27,0.926,19,32,51,30,16,6,18,29,7.0
22019,1610612756,PHX,Phoenix Suns,0021900308,2019-12-04,PHX @ ORL,L,240,114,43,88,0.489,15,33,0.455,13,20,0.65,8,21,29,36,10,0,13,20,-14.0
22019,1610612756,PHX,Phoenix Suns,0021900293,2019-12-02,PHX @ CHA,W,240,109,39,88,0.443,9,42,0.214,22,30,0.733,9,28,37,30,12,7,7,21,5.0
22019,1610612756,PHX,Phoenix Suns,0021900277,2019-11-29,PHX vs. DAL,L,240,113,41,93,0.441,13,38,0.342,18,25,0.72,11,36,47,29,3,3,10,29,-7.0
22019,1610612756,PHX,Phoenix Suns,0021900263,2019-11-27,PHX vs. WAS,L,241,132,48,93,0.516,15,38,0.395,21,24,0.875,12,28,40,29,7,6,15,21,-8.0
22019,1610612756,PHX,Phoenix Suns,0021900238,2019-11-24,PHX @ DEN,L,240,104,41,82,0.5,12,35,0.343,10,12,0.833,7,29,36,25,4,2,12,18,-12.0
22019,1610612756,PHX,Phoenix Suns,0021900225,2019-11-23,PHX @ MIN,W,239,100,33,96,0.344,10,35,0.286,24,26,0.923,12,44,56,22,9,3,7,17,2.0
22019,1610612756,PHX,Phoenix Suns,0021900214,2019-11-21,PHX vs. NOP,L,239,121,40,86,0.465,13,31,0.419,28,32,0.875,9,29,38,28,10,3,14,19,-3.0
22019,1610612756,PHX,Phoenix Suns,0021900200,2019-11-19,PHX @ SAC,L,239,116,38,89,0.427,12,36,0.333,28,34,0.824,14,25,39,24,11,4,10,20,-4.0
22019,1610612756,PHX,Phoenix Suns,0021900195,2019-11-18,PHX vs. BOS,L,239,85,33,82,0.402,10,36,0.278,9,12,0.75,8,37,45,22,7,6,19,17,-14.0
22019,1610612756,PHX,Phoenix Suns,0021900165,2019-11-14,PHX vs. ATL,W,241,128,41,85,0.482,15,39,0.385,31,38,0.816,7,32,39,32,6,2,20,24,16.0
22019,1610612756,PHX,Phoenix Suns,0021900151,2019-11-12,PHX vs. LAL,L,240,115,43,91,0.473,16,38,0.421,13,17,0.765,6,33,39,32,3,4,11,22,-8.0
22019,1610612756,PHX,Phoenix Suns,0021900137,2019-11-10,PHX vs. BKN,W,241,138,52,99,0.525,19,42,0.452,15,19,0.789,5,37,42,37,8,7,7,17,26.0
22019,1610612756,PHX,Phoenix Suns,0021900114,2019-11-07,PHX vs. MIA,L,240,108,37,84,0.44,11,32,0.344,23,31,0.742,10,30,40,22,4,3,14,21,-16.0
22019,1610612756,PHX,Phoenix Suns,0021900095,2019-11-04,PHX vs. PHI,W,239,114,41,77,0.532,11,28,0.393,21,27,0.778,5,35,40,24,6,5,19,24,5.0
22019,1610612756,PHX,Phoenix Suns,0021900081,2019-11-02,PHX @ MEM,W,239,114,44,88,0.5,14,34,0.412,12,16,0.75,4,28,32,26,9,2,17,20,9.0
22019,1610612756,PHX,Phoenix Suns,0021900065,2019-10-30,PHX @ GSW,W,239,121,44,96,0.458,15,36,0.417,18,21,0.857,13,32,45,33,12,4,16,22,11.0
22019,1610612756,PHX,Phoenix Suns,0021900049,2019-10-28,PHX vs. UTA,L,241,95,33,80,0.413,13,34,0.382,16,23,0.696,3,37,40,23,7,3,16,31,-1.0
