abbr,pts,opp_pts,wins,losses
DAL,99,104,45,29
DAL,135,131,46,29
DAL,101,108,46,30
DAL,110,123,46,31
DAL,107,104,47,31
DAL,144,143,48,31
DAL,120,106,49,31
DAL,92,109,49,32
DAL,114,98,50,32
DAL,108,118,0,1
DAL,99,111,0,2
DAL,128,130,0,3
DAL,121,109,1,3
DAL,94,103,1,4
DEN,89,79,1,0
DEN,91,102,1,1
DEN,105,110,1,2
DEN,109,131,1,3
DEN,101,110,1,4
DEN,100,116,1,5
DEN,113,130,1,6
DEN,108,87,2,6
DEN,93,109,2,7
DEN,106,97,3,7
DEN,107,100,4,7
DEN,117,97,5,7
DEN,101,94,6,7
DEN,114,109,7,7
DEN,112,120,7,8
DEN,122,97,8,8
DEN,103,101,9,8
DEN,103,105,9,9
DEN,89,119,9,10
DEN,84,96,9,11
DEN,107,112,9,12
DEN,102,82,10,12
DEN,96,108,10,13
DEN,91,99,10,14
DEN,111,115,10,15
DEN,109,106,11,15
DEN,76,73,12,15
DEN,82,110,12,16
DEN,96,102,12,17
DEN,106,102,13,17
DEN,102,116,13,18
DEN,103,111,13,19
DEN,101,106,13,20
DEN,114,85,14,20
DEN,110,101,15,20
DEN,93,90,16,20
DEN,118,108,17,20
DEN,114,107,18,20
DEN,89,97,18,21
DEN,105,113,18,22
DEN,79,122,18,23
DEN,99,109,18,24
DEN,99,100,18,25
DEN,115,117,18,26
DEN,98,102,18,27
DEN,93,85,19,27
DEN,69,99,19,28
DEN,86,104,19,29
DEN,98,105,19,30
DEN,100,104,19,31
DEN,88,98,19,32
DEN,114,124,19,33
DEN,106,96,20,33
DEN,81,89,20,34
DEN,94,119,20,35
DEN,82,110,20,36
DEN,96,110,20,37
DEN,82,104,20,38
DEN,92,99,20,39
DEN,106,95,21,39
DEN,100,85,22,39
DEN,111,120,22,40
DEN,100,114,22,41
DEN,106,78,23,41
DEN,115,102,24,41
DEN,114,103,25,41
DEN,118,111,26,41
DEN,81,92,26,42
DEN,108,118,26,43
DEN,91,108,26,44
DEN,119,100,27,44
DEN,85,99,27,45
DEN,107,91,28,45
DEN,114,120,28,46
DEN,84,98,28,47
DEN,93,123,28,48
DEN,92,107,28,49
DEN,119,101,29,49
DEN,143,144,29,50
DEN,122,111,30,50
DEN,103,110,30,51
DEN,126,133,30,52
DET,79,89,0,1
DET,91,97,0,2
DET,90,102,0,3
DET,98,95,1,3
DET,98,95,2,3
DET,96,97,2,4
DET,91,102,2,5
DET,103,107,2,6
DET,96,89,3,6
DET,88,95,3,7
DET,93,107,3,8
DET,86,88,3,9
DET,89,99,3,10
DET,86,98,3,11
DET,98,104,3,12
DET,88,104,3,13
DET,93,104,3,14
DET,96,106,3,15
DET,102,109,3,16
DET,101,108,3,17
DET,94,96,3,18
DET,86,98,3,19
DET,105,103,4,19
DET,95,90,5,19
DET,91,113,5,20
DET,106,117,5,21
DET,100,110,5,22
DET,105,110,5,23
DET,119,109,6,23
DET,103,80,7,23
DET,109,86,8,23
DET,97,81,9,23
DET,114,95,10,23
DET,105,104,11,23
DET,108,95,12,23
DET,103,106,12,24
DET,98,93,13,24
DET,114,111,14,24
DET,94,105,14,25
DET,98,96,15,25
DET,107,89,16,25
DET,82,93,16,26
DET,128,118,17,26
DET,86,101,17,27
DET,110,114,17,28
DET,95,103,17,29
DET,69,89,17,30
DET,114,101,18,30
DET,108,91,19,30
DET,109,114,19,31
DET,98,88,20,31
DET,101,112,20,32
DET,106,78,21,32
DET,87,104,21,33
DET,100,91,22,33
DET,106,89,23,33
DET,93,102,23,34
DET,115,121,23,35
DET,95,99,23,36
DET,85,88,23,37
DET,93,103,23,38
DET,101,108,23,39
DET,85,93,23,40
DET,98,105,23,41
DET,99,118,23,42
DET,85,88,23,43
DET,105,95,24,43
DET,83,94,24,44
DET,107,91,25,44
DET,105,97,26,44
DET,108,104,27,44
DET,111,97,28,44
DET,102,109,28,45
DET,105,95,29,45
DET,78,102,29,46
DET,82,88,29,47
DET,99,98,30,47
DET,103,113,30,48
DET,103,107,30,49
DET,116,77,31,49
DET,97,109,31,50
DET,112,90,32,50
GSW,95,77,1,0
GSW,127,104,2,0
GSW,95,90,3,0
GSW,121,104,4,0
GSW,98,87,5,0
GSW,95,107,5,1
GSW,100,113,5,2
GSW,107,99,6,2
GSW,112,87,7,2
GSW,136,115,8,2
GSW,101,88,9,2
GSW,91,86,10,2
GSW,114,97,11,2
GSW,111,96,12,2
GSW,106,101,13,2
GSW,104,93,14,2
GSW,98,97,15,2
GSW,112,85,16,2
GSW,112,102,17,2
GSW,102,86,18,2
GSW,105,93,19,2
GSW,105,98,20,2
GSW,128,122,21,2
GSW,98,105,21,3
GSW,114,109,22,3
GSW,128,108,23,3
GSW,105,115,23,4
GSW,86,100,23,5
GSW,110,97,24,5
GSW,126,86,25,5
GSW,126,105,26,5
GSW,117,91,27,5
GSW,117,102,28,5
GSW,112,94,29,5
GSW,116,105,30,5
GSW,104,89,31,5
GSW,115,127,31,6
GSW,131,106,32,6
GSW,122,79,33,6
GSW,126,113,34,6
GSW,126,101,35,6
GSW,114,111,36,6
GSW,111,113,36,7
GSW,100,110,36,8
GSW,106,87,37,8
GSW,121,96,38,8
GSW,128,114,39,8
GSW,116,124,39,9
GSW,106,92,40,9
GSW,89,84,41,9
GSW,94,91,42,9
GSW,110,99,43,9
GSW,98,104,43,10
GSW,114,107,44,10
GSW,99,110,44,11
GSW,113,89,45,11
GSW,106,101,46,11
GSW,108,110,46,12
GSW,102,93,47,12
GSW,104,89,48,12
GSW,106,98,49,12
GSW,98,80,50,12
GSW,105,98,51,12
GSW,103,114,51,13
GSW,125,94,52,13
GSW,108,105,53,13
GSW,114,95,54,13
GSW,112,96,55,13
GSW,106,91,56,13
GSW,107,76,57,13
GSW,122,108,58,13
GSW,107,84,59,13
GSW,108,95,60,13
GSW,110,106,61,13
GSW,107,106,62,13
GSW,123,110,63,13
GSW,92,107,63,14
GSW,100,103,63,15
GSW,116,105,64,15
GSW,110,101,65,15
GSW,111,107,66,15
GSW,133,126,67,15
GSW,106,99,1,0
GSW,97,87,2,0
GSW,123,119,3,0
GSW,109,98,4,0
GSW,101,86,5,0
GSW,90,97,5,1
GSW,89,99,5,2
GSW,101,84,6,2
GSW,98,78,7,2
GSW,108,95,8,2
GSW,110,106,9,2
GSW,99,98,10,2
GSW,115,80,11,2
GSW,115,128,11,3
GSW,104,90,12,3
GSW,108,100,13,3
GSW,93,95,13,4
GSW,91,96,13,5
GSW,103,82,14,5
GSW,104,91,15,5
GSW,105,97,16,5
HOU,108,90,1,0
HOU,104,93,2,0
HOU,104,90,3,0
HOU,104,93,4,0
HOU,108,91,5,0
HOU,98,81,6,0
HOU,87,98,6,1
HOU,113,101,7,1
HOU,88,87,8,1
HOU,69,65,9,1
HOU,93,119,9,2
HOU,92,98,9,3
HOU,95,92,10,3
HOU,91,86,11,3
HOU,102,89,12,3
HOU,85,102,12,4
HOU,117,103,13,4
HOU,105,96,14,4
HOU,114,112,15,4
HOU,100,95,16,4
HOU,93,105,16,5
HOU,113,109,17,5
HOU,108,96,18,5
HOU,115,111,19,5
HOU,90,99,19,6
HOU,97,104,19,7
HOU,110,95,20,7
HOU,117,111,21,7
HOU,106,110,21,8
HOU,103,104,21,9
HOU,102,83,22,9
HOU,83,111,22,10
HOU,115,79,23,10
HOU,105,114,23,11
HOU,105,93,24,11
HOU,120,96,25,11
HOU,97,82,26,11
HOU,113,99,27,11
HOU,113,120,27,12
HOU,112,101,28,12
HOU,106,131,28,13
HOU,110,98,29,13
HOU,113,126,29,14
HOU,113,111,30,14
HOU,99,87,31,14
HOU,99,94,32,14
HOU,93,87,33,14
HOU,101,114,33,15
HOU,101,90,34,15
HOU,117,111,35,15
HOU,98,109,35,16
HOU,127,118,36,16
HOU,95,110,36,17
HOU,100,111,36,18
HOU,98,76,37,18
HOU,113,102,38,18
HOU,110,105,39,18
HOU,102,98,40,18
HOU,105,103,41,18
HOU,96,104,41,19
HOU,100,102,41,20
HOU,103,93,42,20
HOU,114,100,43,20
HOU,100,105,43,21
HOU,91,109,43,22
HOU,100,98,44,22
HOU,107,94,45,22
HOU,118,108,46,22
HOU,102,117,46,23
HOU,110,100,47,23
HOU,95,93,48,23
HOU,120,110,49,23
HOU,99,91,50,23
HOU,96,99,50,24
HOU,115,111,51,24
HOU,108,101,52,24
HOU,115,112,53,24
HOU,98,110,53,25
HOU,103,104,53,26
HOU,121,114,54,26
HOU,100,90,55,26
HOU,117,91,56,26
HOU,118,108,1,0
HOU,111,99,2,0
HOU,130,128,3,0
HOU,109,121,3,1
HOU,103,94,4,1
HOU,101,117,4,2
HOU,115,109,5,2
HOU,99,124,5,3
HOU,95,128,5,4
HOU,124,103,6,4
HOU,119,107,7,4
HOU,113,100,8,4
HOU,106,110,8,5
HOU,98,99,8,6
HOU,80,115,8,7
HOU,128,115,9,7
HOU,90,104,9,8
IND,103,91,1,0
IND,89,97,1,1
IND,92,102,1,2
IND,81,87,1,3
IND,94,96,1,4
IND,98,101,1,5
IND,90,97,1,6
IND,97,86,2,6
IND,81,75,3,6
